t,x,y,yaw,speed
0.0,-5.0,7.475,0.0,0.5
1.0,-4.5,7.475,0.0,0.5
2.0,-4.0,7.475,0.0,0.5
3.0,-3.5,7.475,0.0,0.5
4.0,-3.0,7.475,0.0,0.5
5.0,-2.5,7.475,0.0,0.5
6.0,-2.0,7.475,0.0,0.5
7.0,-1.5,7.475,0.0,0.5
8.0,-1.0,7.475,0.0,0.5
9.0,-0.5,7.475,0.0,0.5
10.0,0.0,7.475,0.0,0.5
11.0,0.5,7.475,0.0,0.5
12.0,1.0,7.475,0.0,0.5
13.0,1.5,7.475,0.0,0.5
14.0,2.0,7.475,0.0,0.5
15.0,2.5,7.475,0.0,0.5
16.0,3.0,7.475,0.0,0.5
17.0,3.5,7.475,0.0,0.5
18.0,4.0,7.475,0.0,0.5
19.0,4.5,7.475,0.0,0.5
20.0,5.0,7.475,0.0,0.5
21.0,5.5,7.475,0.0,0.5
22.0,6.0,7.475,0.0,0.5
23.0,6.5,7.475,0.0,0.5
24.0,7.0,7.475,0.0,0.5
25.0,7.5,7.475,0.0,0.5
26.0,8.0,7.475,0.0,0.5
27.0,8.5,7.475,0.0,0.5
28.0,9.0,7.475,0.0,0.5
29.0,9.5,7.475,0.0,0.5
30.0,10.0,7.475,0.0,0.5
